15	43											
1	4											
1	1	12										
2	2	6	13									
3	3	1	4	15								
4	9	2	3	5	7	8	9	10	11	14		
2	4											
1	4	4	6	13	15							
2	9	2	3	5	7	8	9	10	11	14		
3	1	1										
4	1	12										
3	4											
1	1	12										
2	1	1										
3	9	2	3	5	7	8	9	10	11	14		
4	4	4	6	13	15							
4	4											
1	1	1										
2	3	4	6	13								
3	2	12	15									
4	9	2	3	5	7	8	9	10	11	14		
5	4											
1	2	12	13									
2	10	2	3	5	6	7	8	9	10	11	14	
3	2	1	4									
4	1	15										
6	4											
1	10	1	2	3	5	7	8	9	10	11	14	
2	1	6										
3	3	4	12	13								
4	1	15										
7	4											
1	2	1	12									
2	2	6	13									
3	2	4	15									
4	9	2	3	5	7	8	9	10	11	14		
8	4											
1	2	6	13									
2	2	1	12									
3	9	2	3	5	7	8	9	10	11	14		
4	2	4	15									
9	4											
1	2	13	15									
2	1	1										
3	9	2	3	5	7	8	9	10	11	14		
4	3	4	6	12								
10	4											
1	9	2	3	5	7	8	9	10	11	14		
2	3	1	4	15								
3	2	12	13									
4	1	6										
11	4											
1	3	12	13	15								
2	8	3	5	7	8	9	10	11	14			
3	3	1	2	4								
4	1	6										
12	4											
1	4	6	12	13	15							
2	2	1	2									
3	8	3	5	7	8	9	10	11	14			
4	1	4										
13	4											
1	8	3	5	7	8	9	10	11	14			
2	3	4	13	15								
3	2	1	2									
4	2	6	12									
14	4											
1	3	1	6	12								
2	1	13										
3	1	2										
4	10	3	4	5	7	8	9	10	11	14	15	
15	4											
1	1	6										
2	3	2	13	15								
3	2	1	12									
4	9	3	4	5	7	8	9	10	11	14		
16	4											
1	3	4	13	15								
2	2	1	6									
3	8	3	5	7	8	9	10	11	14			
4	2	2	12									
17	4											
1	2	2	12									
2	8	3	5	7	8	9	10	11	14			
3	2	1	6									
4	3	4	13	15								
18	4											
1	4	4	6	13	15							
2	8	3	5	7	8	9	10	11	14			
3	1	12										
4	2	1	2									
19	4											
1	2	4	15									
2	3	5	7	14								
3	5	1	2	6	12	13						
4	5	3	8	9	10	11						
20	4											
1	3	4	12	15								
2	9	2	3	5	7	8	9	10	11	14		
3	1	1										
4	2	6	13									
21	4											
1	4	6	12	13	15							
2	1	2										
3	1	1										
4	9	3	4	5	7	8	9	10	11	14		
22	4											
1	2	1	6									
2	2	13	15									
3	10	2	3	4	5	7	8	9	10	11	14	
4	1	12										
23	4											
1	1	12										
2	9	2	3	4	7	8	9	10	11	14		
3	2	1	5									
4	3	6	13	15								
24	4											
1	1	6										
2	3	1	5	15								
3	9	2	3	4	7	8	9	10	11	14		
4	2	12	13									
25	4											
1	3	1	5	6								
2	9	2	3	4	7	8	9	10	11	14		
3	1	15										
4	2	12	13									
26	4											
1	2	5	6									
2	4	1	12	13	15							
3	1	14										
4	8	2	3	4	7	8	9	10	11			
27	4											
1	2	6	13									
2	9	2	3	4	7	8	9	10	11	15		
3	1	12										
4	3	1	5	14								
28	4											
1	9	2	3	4	7	8	9	10	11	15		
2	1	5										
3	2	1	14									
4	3	6	12	13								
29	4											
1	2	13	15									
2	1	12										
3	10	2	3	4	6	7	8	9	10	11	14	
4	2	1	5									
30	4											
1	2	1	14									
2	2	6	15									
3	2	12	13									
4	9	2	3	4	5	7	8	9	10	11		
31	4											
1	4	6	12	13	15							
2	8	2	3	4	7	8	9	10	11			
3	1	5										
4	2	1	14									
32	4											
1	9	2	3	4	5	7	8	9	10	11		
2	2	6	15									
3	2	1	14									
4	2	12	13									
33	4											
1	1	1										
2	1	6										
3	3	12	13	15								
4	10	2	3	4	5	7	8	9	10	11	14	
34	4											
1	1	1										
2	9	2	3	4	5	7	8	9	10	11		
3	4	6	12	13	15							
4	1	14										
35	4											
1	1	15										
2	10	2	3	4	6	7	8	9	10	11	14	
3	3	1	5	12								
4	1	13										
36	4											
1	2	12	13									
2	11	2	3	4	5	7	8	9	10	11	14	15
3	1	1										
4	1	6										
37	4											
1	8	2	3	4	7	8	9	10	11			
2	3	6	12	13								
3	2	1	14									
4	2	5	15									
38	4											
1	3	1	6	14								
2	1	5										
3	8	2	3	4	7	8	9	10	11			
4	3	12	13	15								
39	4											
1	2	5	6									
2	2	1	14									
3	2	12	13									
4	9	2	3	4	7	8	9	10	11	15		
40	4											
1	3	1	5	14								
2	3	12	13	15								
3	1	6										
4	8	2	3	4	7	8	9	10	11			
41	4											
1	3	6	12	13								
2	3	1	5	14								
3	1	15										
4	8	2	3	4	7	8	9	10	11			
42	4											
1	3	1	5	14								
2	2	12	13									
3	1	6										
4	9	2	3	4	7	8	9	10	11	15		
43	4											
1	9	2	3	4	7	8	9	10	11	14		
2	4	6	12	13	15							
3	1	5										
4	1	1										
