25	43																	
1	4																	
1	8	6	12	13	17	20	21	23	25									
2	13	2	3	5	7	8	9	10	11	14	16	18	22	24				
3	1	19																
4	3	1	4	15														
2	4																	
1	3	12	15	23														
2	8	4	6	13	17	19	20	21	25									
3	1	1																
4	13	2	3	5	7	8	9	10	11	14	16	18	22	24				
3	4																	
1	1	1																
2	8	4	6	13	17	19	20	21	25									
3	13	2	3	5	7	8	9	10	11	14	16	18	22	24				
4	3	12	15	23														
4	4																	
1	1	17																
2	2	1	25															
3	13	2	3	5	7	8	9	10	11	14	16	18	22	24				
4	9	4	6	12	13	15	19	20	21	23								
5	4																	
1	1	15																
2	4	1	4	17	20													
3	15	2	3	5	6	7	8	9	10	11	14	16	18	22	23	24		
4	5	12	13	19	21	25												
6	4																	
1	1	15																
2	14	1	2	3	5	7	8	9	10	11	14	16	18	22	24			
3	2	6	20															
4	8	4	12	13	17	19	21	23	25									
7	4																	
1	14	2	3	5	7	8	9	10	11	14	16	18	21	22	24			
2	4	4	15	20	23													
3	4	1	12	17	19													
4	3	6	13	25														
8	4																	
1	2	12	23															
2	13	2	3	5	7	8	9	10	11	14	16	18	22	24				
3	8	4	6	13	15	19	20	21	25									
4	2	1	17															
9	4																	
1	14	2	3	5	7	8	9	10	11	14	16	18	19	22	24			
2	2	1	20															
3	5	4	6	12	21	23												
4	4	13	15	17	25													
10	4																	
1	1	6																
2	4	1	4	15	17													
3	13	2	3	5	7	8	9	10	11	14	16	18	22	24				
4	7	12	13	19	20	21	23	25										
11	4																	
1	6	1	2	4	17	19	20											
2	2	13	25															
3	14	3	5	6	7	8	9	10	11	14	16	18	22	23	24			
4	3	12	15	21														
12	4																	
1	1	21																
2	5	4	6	13	15	25												
3	14	3	5	7	8	9	10	11	14	16	18	19	20	22	24			
4	5	1	2	12	17	23												
13	4																	
1	1	19																
2	9	4	6	12	13	15	20	21	23	25								
3	2	1	2															
4	13	3	5	7	8	9	10	11	14	16	17	18	22	24				
14	4																	
1	5	1	6	12	21	23												
2	15	3	4	5	7	8	9	10	11	14	15	16	17	18	22	24		
3	1	2																
4	4	13	19	20	25													
15	4																	
1	7	2	13	15	19	20	21	25										
2	2	1	12															
3	13	3	4	5	7	8	9	10	11	14	16	18	22	24				
4	3	6	17	23														
16	4																	
1	6	4	17	19	20	21	25											
2	2	1	6															
3	12	3	5	7	8	9	10	11	14	16	18	22	24					
4	5	2	12	13	15	23												
17	4																	
1	2	1	6															
2	5	2	12	13	15	23												
3	6	4	17	19	20	21	25											
4	12	3	5	7	8	9	10	11	14	16	18	22	24					
18	4																	
1	3	1	2	21														
2	12	3	5	7	8	9	10	11	14	16	18	22	24					
3	8	4	6	13	17	19	20	23	25									
4	2	12	15															
19	4																	
1	14	3	5	7	8	9	10	11	14	16	18	19	22	23	24			
2	2	4	15															
3	7	2	6	12	13	17	20	25										
4	2	1	21															
20	4																	
1	4	1	4	12	15													
2	1	25																
3	13	2	3	5	7	8	9	10	11	14	16	18	22	24				
4	7	6	13	17	19	20	21	23										
21	4																	
1	4	2	13	21	25													
2	1	1																
3	14	3	4	5	7	8	9	10	11	14	16	18	22	23	24			
4	6	6	12	15	17	19	20											
22	4																	
1	3	19	20	21														
2	4	12	13	15	25													
3	15	2	3	4	5	7	8	9	10	11	14	16	18	22	23	24		
4	3	1	6	17														
23	4																	
1	15	2	3	4	7	8	9	10	11	14	16	17	18	19	22	24		
2	2	1	25															
3	4	5	20	21	23													
4	4	6	12	13	15													
24	4																	
1	13	2	3	4	7	8	9	10	11	14	16	18	22	24				
2	1	6																
3	7	1	5	15	17	19	20	21										
4	4	12	13	23	25													
25	4																	
1	13	2	3	4	7	8	9	10	11	14	16	17	18	24				
2	5	12	13	19	20	22												
3	2	15	25															
4	5	1	5	6	21	23												
26	4																	
1	4	5	6	20	21													
2	8	1	12	13	14	15	17	23	25									
3	1	22																
4	12	2	3	4	7	8	9	10	11	16	18	19	24					
27	4																	
1	6	6	13	19	20	23	25											
2	13	2	3	4	7	8	9	10	11	15	16	18	22	24				
3	1	12																
4	5	1	5	14	17	21												
28	4																	
1	8	12	13	19	20	21	22	23	25									
2	2	5	6															
3	3	1	14	17														
4	12	2	3	4	7	8	9	10	11	15	16	18	24					
29	4																	
1	1	12																
2	8	13	15	17	19	20	21	23	25									
3	15	1	2	3	4	5	7	8	9	10	11	14	16	18	22	24		
4	1	6																
30	4																	
1	4	12	21	22	23													
2	5	6	13	15	17	25												
3	3	1	14	20														
4	13	2	3	4	5	7	8	9	10	11	16	18	19	24				
31	4																	
1	5	1	12	21	22	23												
2	4	5	14	19	20													
3	5	6	13	15	17	25												
4	11	2	3	4	7	8	9	10	11	16	18	24						
32	4																	
1	5	6	12	13	15	17												
2	2	1	14															
3	3	19	23	25														
4	15	2	3	4	5	7	8	9	10	11	16	18	20	21	22	24		
33	4																	
1	3	6	19	20														
2	15	2	3	4	5	7	8	9	10	11	14	16	18	22	23	24		
3	6	12	13	15	17	21	25											
4	1	1																
34	4																	
1	13	2	3	4	5	7	8	9	10	11	16	18	22	24				
2	8	6	12	13	14	15	17	19	25									
3	2	1	20															
4	2	21	23															
35	4																	
1	13	2	3	4	7	8	9	10	11	14	16	18	22	24				
2	5	1	5	12	15	20												
3	2	6	21															
4	5	13	17	19	23	25												
36	4																	
1	17	2	3	4	5	6	7	8	9	10	11	14	15	16	18	21	23	24
2	6	12	13	17	19	20	25											
3	1	1																
4	1	22																
37	4																	
1	4	1	14	15	21													
2	13	2	3	4	5	7	8	9	10	11	16	18	23	24				
3	4	6	12	13	25													
4	4	17	19	20	22													
38	4																	
1	4	12	13	20	25													
2	4	1	5	6	14													
3	12	2	3	4	7	8	9	10	11	16	18	23	24					
4	5	15	17	19	21	22												
39	4																	
1	3	12	13	25														
2	4	17	19	22	23													
3	5	1	5	6	14	21												
4	13	2	3	4	7	8	9	10	11	15	16	18	20	24				
40	4																	
1	9	6	12	13	15	17	19	20	21	23								
2	12	2	3	4	7	8	9	10	11	16	18	24	25					
3	3	1	5	14														
4	1	22																
41	4																	
1	11	2	3	4	7	8	9	10	11	16	18	24						
2	3	1	5	14														
3	10	6	12	13	17	19	20	21	22	23	25							
4	1	15																
42	4																	
1	7	12	13	17	19	20	22	25										
2	3	1	5	14														
3	14	2	3	4	6	7	8	9	10	11	15	16	18	21	24			
4	1	23																
43	4																	
1	2	1	6															
2	2	21	22															
3	8	12	13	15	17	19	20	23	25									
4	13	2	3	4	5	7	8	9	10	11	14	16	18	24				
