133	20																																			
1	18																																			
1	4	69	92	104	118																															
2	4	17	55	67	88																															
3	10	6	29	50	60	82	109	112	113	117	129																									
4	6	1	18	33	57	65	71																													
5	2	61	96																																	
6	16	4	12	14	21	32	43	73	81	99	103	105	115	123	124	125	133																			
7	1	90																																		
8	5	23	41	84	102	119																														
9	1	85																																		
10	9	40	47	49	72	83	101	114	126	128																										
11	6	5	42	44	45	62	107																													
12	4	48	53	122	127																															
13	1	38																																		
14	11	10	16	20	22	31	64	66	77	106	121	131																								
15	3	70	76	94																																
16	3	15	54	97																																
17	28	2	3	7	9	11	19	25	26	28	30	34	37	52	56	59	63	78	79	87	89	91	95	98	100	108	111	116	130							
18	19	8	13	24	27	35	36	39	46	51	58	68	74	75	80	86	93	110	120	132																
2	18																																			
1	22	10	13	16	18	20	29	42	44	45	50	61	66	69	77	82	97	107	109	117	121	125	127													
2	2	4	71																																	
3	12	12	22	43	62	73	84	85	103	123	124	131	133																							
4	6	2	9	11	55	59	106																													
5	2	15	63																																	
6	26	7	17	19	25	26	28	30	34	37	38	52	56	67	78	87	89	91	95	98	102	104	108	111	116	129	130									
7	1	74																																		
8	2	100	105																																	
9	2	14	64																																	
10	1	128																																		
11	12	1	5	31	33	41	48	53	57	65	112	113	122																							
12	2	35	96																																	
13	25	6	8	23	39	40	46	47	51	58	60	68	70	72	75	80	86	92	93	94	101	114	118	119	120	132										
14	6	21	32	54	81	99	115																													
15	2	3	79																																	
16	1	126																																		
17	2	83	90																																	
18	7	24	27	36	49	76	88	110																												
3	18																																			
1	13	10	31	41	53	61	64	65	74	97	109	112	113	129																						
2	11	9	15	42	45	55	67	76	104	120	122	127																								
3	9	4	13	40	47	68	86	114	128	132																										
4	7	35	48	50	75	78	82	121																												
5	5	51	58	90	100	118																														
6	13	1	12	20	36	46	57	63	72	80	110	111	119	125																						
7	17	14	21	32	43	62	71	73	81	84	85	99	103	105	115	116	124	133																		
8	4	38	77	106	131																															
9	8	19	25	26	37	56	79	89	98																											
10	7	3	18	22	24	60	66	130																												
11	6	52	88	93	96	107	123																													
